InvoiceNo,StockCode,Description,Quantity,UnitPrice,Sales,InvoiceDate,CustomerID,Country
578703,20869,GOLD FABRIC MIRROR,4,0.39,1.56,11/25/2011 11:02,17385,United Kingdom
578703,20868,SILVER FABRIC MIRROR,5,0.39,1.95,11/25/2011 11:02,17385,United Kingdom
578703,22457,NATURAL SLATE HEART CHALKBOARD ,3,2.95,8.85,11/25/2011 11:02,17385,United Kingdom
578703,22185,SLATE TILE NATURAL HANGING,5,1.65,8.25,11/25/2011 11:02,17385,United Kingdom
578703,23365,SET 12 COLOUR PENCILS LOVE LONDON,4,0.65,2.6,11/25/2011 11:02,17385,United Kingdom
578703,22208,WOOD STAMP SET THANK YOU,4,0.83,3.32,11/25/2011 11:02,17385,United Kingdom
578703,23369,SET 36 COLOUR PENCILS LOVE LONDON,3,1.25,3.75,11/25/2011 11:02,17385,United Kingdom
578703,23372,SET 36 COLOUR PENCILS DOLLY GIRL,4,1.25,5,11/25/2011 11:02,17385,United Kingdom
578703,22561,WOODEN SCHOOL COLOURING SET,4,1.65,6.6,11/25/2011 11:02,17385,United Kingdom
578703,22563,HAPPY STENCIL CRAFT,4,1.25,5,11/25/2011 11:02,17385,United Kingdom
578703,22991,GIRAFFE WOODEN RULER,4,1.95,7.8,11/25/2011 11:02,17385,United Kingdom
578703,22992,REVOLVER WOODEN RULER ,4,1.95,7.8,11/25/2011 11:02,17385,United Kingdom
578703,22759,SET OF 3 NOTEBOOKS IN PARCEL,7,1.65,11.55,11/25/2011 11:02,17385,United Kingdom
578703,85034C,3 ROSE MORRIS BOXED CANDLES,1,1.25,1.25,11/25/2011 11:02,17385,United Kingdom
578703,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,3,1.25,3.75,11/25/2011 11:02,17385,United Kingdom
578703,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,0.79,7.11,11/25/2011 11:02,17385,United Kingdom
578703,23320,GIANT 50'S CHRISTMAS CRACKER,6,2.89,17.34,11/25/2011 11:02,17385,United Kingdom
578704,21733,RED HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,11/25/2011 11:12,18172,United Kingdom
578704,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2.55,326.4,11/25/2011 11:12,18172,United Kingdom
578705,84988,SET OF 72 PINK HEART PAPER DOILIES,3,1.45,4.35,11/25/2011 11:12,12531,Germany
578705,23569,TRADTIONAL ALPHABET STAMP SET,2,4.95,9.9,11/25/2011 11:12,12531,Germany
578705,20712,JUMBO BAG WOODLAND ANIMALS,2,2.08,4.16,11/25/2011 11:12,12531,Germany
578705,22196,SMALL HEART MEASURING SPOONS,1,0.85,0.85,11/25/2011 11:12,12531,Germany
578705,22195,LARGE HEART MEASURING SPOONS,1,1.65,1.65,11/25/2011 11:12,12531,Germany
578705,22564,ALPHABET STENCIL CRAFT,2,1.25,2.5,11/25/2011 11:12,12531,Germany
578705,21251,DINOSAUR HEIGHT CHART STICKER SET,2,2.95,5.9,11/25/2011 11:12,12531,Germany
578705,21249,WOODLAND  HEIGHT CHART STICKERS ,3,2.95,8.85,11/25/2011 11:12,12531,Germany
578705,22966,GINGERBREAD MAN COOKIE CUTTER,3,1.25,3.75,11/25/2011 11:12,12531,Germany
578705,23480,MINI LIGHTS WOODLAND MUSHROOMS,4,3.75,15,11/25/2011 11:12,12531,Germany
578705,21731,RED TOADSTOOL LED NIGHT LIGHT,3,1.65,4.95,11/25/2011 11:12,12531,Germany
578705,23084,RABBIT NIGHT LIGHT,2,2.08,4.16,11/25/2011 11:12,12531,Germany
578705,22078,RIBBON REEL LACE DESIGN ,5,2.1,10.5,11/25/2011 11:12,12531,Germany
578705,21226,POCKET MIRROR WOODLAND,5,1.25,6.25,11/25/2011 11:12,12531,Germany
578705,22554,PLASTERS IN TIN WOODLAND ANIMALS,4,1.65,6.6,11/25/2011 11:12,12531,Germany
578705,21452,TOADSTOOL MONEY BOX,2,2.95,5.9,11/25/2011 11:12,12531,Germany
578705,22504,CABIN BAG VINTAGE RETROSPOT,1,29.95,29.95,11/25/2011 11:12,12531,Germany
578707,16218,CARTOON  PENCIL SHARPENERS,5,0.06,0.3,11/25/2011 11:20,17870,United Kingdom
578707,85066,CREAM SWEETHEART MINI CHEST,2,12.75,25.5,11/25/2011 11:20,17870,United Kingdom
578707,21429,RED GINGHAM ROSE JEWELLERY BOX,4,1.95,7.8,11/25/2011 11:20,17870,United Kingdom
